flap_setting,gross_weight_lbs,pressure_alt_ft,temp_F,headwind_kt,ground_roll_ft_unfactored
UP,50000,8000,20,0,4670
UP,50000,8000,20,10,4210
UP,50000,8000,20,20,3820
UP,50000,8000,20,30,3465
UP,50000,8000,20,40,3165
UP,50000,8000,59,0,5020
UP,50000,8000,59,10,4525
UP,50000,8000,59,20,4110
UP,50000,8000,59,30,3725
UP,50000,8000,59,40,3400
UP,50000,8000,90,0,5320
UP,50000,8000,90,10,4795
UP,50000,8000,90,20,4355
UP,50000,8000,90,30,3950
UP,50000,8000,90,40,3600
UP,50000,8000,120,0,5610
UP,50000,8000,120,10,5050
UP,50000,8000,120,20,4590
UP,50000,8000,120,30,4170
UP,50000,8000,120,40,3800
DOWN,55000,0,20,0,2710
DOWN,55000,0,20,10,2360
DOWN,55000,0,20,20,2075
DOWN,55000,0,20,30,1835
DOWN,55000,0,20,40,1635
DOWN,55000,0,59,0,2920
DOWN,55000,0,59,10,2545
DOWN,55000,0,59,20,2240
DOWN,55000,0,59,30,1980
DOWN,55000,0,59,40,1760
DOWN,55000,0,90,0,3090
DOWN,55000,0,90,10,2700
DOWN,55000,0,90,20,2380
DOWN,55000,0,90,30,2100
DOWN,55000,0,90,40,1870
DOWN,55000,0,120,0,3250
DOWN,55000,0,120,10,2850
DOWN,55000,0,120,20,2520
DOWN,55000,0,120,30,2220
DOWN,55000,0,120,40,1980
DOWN,55000,4000,20,0,3100
DOWN,55000,4000,20,10,2730
DOWN,55000,4000,20,20,2405
DOWN,55000,4000,20,30,2130
DOWN,55000,4000,20,40,1895
DOWN,55000,4000,59,0,3330
DOWN,55000,4000,59,10,2940
DOWN,55000,4000,59,20,2600
DOWN,55000,4000,59,30,2305
DOWN,55000,4000,59,40,2050
DOWN,55000,4000,90,0,3520
DOWN,55000,4000,90,10,3115
DOWN,55000,4000,90,20,2760
DOWN,55000,4000,90,30,2450
DOWN,55000,4000,90,40,2175
DOWN,55000,4000,120,0,3690
DOWN,55000,4000,120,10,3275
DOWN,55000,4000,120,20,2905
DOWN,55000,4000,120,30,2580
DOWN,55000,4000,120,40,2295
DOWN,55000,8000,20,0,3620
DOWN,55000,8000,20,10,3190
DOWN,55000,8000,20,20,2810
DOWN,55000,8000,20,30,2495
DOWN,55000,8000,20,40,2220
DOWN,55000,8000,59,0,3880
